Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,textLeft.started,textLeft.stopped,textRight.started,textRight.stopped,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,SychroLeftPr.started,SychroLeftPr.stopped,SychroRightPr.started,SychroRightPr.stopped,NumberLeftPr.started,NumberLeftPr.stopped,NumberRightPr.started,NumberRightPr.stopped,CrossLeftPr.started,CrossLeftPr.stopped,CrossRightPr.started,CrossRightPr.stopped,key_respPrLeft.keys,key_respPrLeft.rt,key_respPrLeft.started,key_respPrLeft.stopped,key_respPrRight.keys,key_respPrRight.rt,key_respPrRight.started,key_respPrRight.stopped,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,FeedbackLeftLeftPr.started,FeedbackLeftLeftPr.stopped,FeedbackRightRightPr.started,FeedbackRightRightPr.stopped,LineLeftPr.started,LineLeftPr.stopped,LineRightPr.started,LineRightPr.stopped,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,LineLeft.started,LineLeft.stopped,LineRight.started,LineRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,key_respLeft.rt,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,17.671735246954313,None,17.671735246954313,None,"['t', 't', 'v']","[1544.3496175228336, 1548.3653284857676, 1550.109182499364]",18.53208480930357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
,,,,,,,,,,,,,,,,,,,,,,,,,,1568.6946194009765,None,1568.6946194009765,None,1639.8433907810927,None,1639.8433907810927,None,1640.2766990618265,None,1640.2766990618265,None,None,12.176573991295754,1640.2766990618265,None,t,6.413572863127229,1640.2766990618265,None,13,6.413572863127229,7,False,False,False,1653.323339559594,None,1653.323339559594,None,1653.323339559594,None,1653.323339559594,None,1654.3398200639563,None,1654.3398200639563,None,1655.3395281578705,None,"['space', 'space']","[1.5673515553303332, 2.6392207583080562]",1656.322681327409,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659.0386589513641,None,1659.0386589513641,None,1662.0876000540188,None,1662.0876000540188,None,1662.5211104235814,None,1662.5211104235814,None,None,1662.5211104235814,None,t,10.083183611173354,1662.5211104235814,None,13,10.083183611173354,10,False,False,False,1675.567805132479,None,1675.567805132479,None,1675.567805132479,None,1675.567805132479,None,1675.567805132479,None,1675.567805132479,None,1676.56754177545,None,1676.56754177545,None,,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677.6170448775133,None,1677.6170448775133,None,1678.0672442557857,None,1678.0672442557857,None,None,1678.0672442557857,None,t,7.875387858182421,1678.0672442557857,None,13,7.875387858182421,7,False,False,False,1691.1139646267566,None,1691.1139646267566,None,1691.1139646267566,None,1691.1139646267566,None,1691.1139646267566,None,1691.1139646267566,None,1692.1136643804966,None,1692.1136643804966,None,,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.16315176454,None,1693.16315176454,None,1693.6133328585852,None,1693.6133328585852,None,v,1693.6133328585852,None,t,6.164602634019502,1693.6133328585852,None,6.82521529677706,6.164602634019502,6,False,False,False,1700.4948173838734,None,1700.4948173838734,None,1700.4948173838734,None,1700.4948173838734,None,1700.4948173838734,None,1700.4948173838734,None,1701.5113373436739,None,1701.5113373436739,None,6.82521529677706,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702.5610861600908,None,1702.5610861600908,None,1703.0109801596886,None,1703.0109801596886,None,v,1703.0109801596886,None,t,9.306310207635306,1703.0109801596886,None,11.502411112190657,9.306310207635306,9,False,False,False,1714.5913414239435,None,1714.5913414239435,None,1714.5913414239435,None,1714.5913414239435,None,1714.5913414239435,None,1714.5913414239435,None,1715.5911874515027,None,1715.5911874515027,None,11.502411112190657,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716.6406876665828,None,1716.6406876665828,None,1717.090789528976,None,1717.090789528976,None,v,1717.090789528976,None,t,7.993347749003078,1717.090789528976,None,10.31755596978428,7.993347749003078,8,False,False,False,1727.471536109264,None,1727.471536109264,None,1727.471536109264,None,1727.471536109264,None,1727.471536109264,None,1727.471536109264,None,1728.4712547887834,None,1728.4712547887834,None,10.31755596978428,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729.5542645394094,None,1729.5542645394094,None,1729.9709508536007,None,1729.9709508536007,None,v,1729.9709508536007,None,t,7.487825431178862,1729.9709508536007,None,11.992200654318822,7.487825431178862,7,False,False,False,1742.017901541681,None,1742.017901541681,None,1742.017901541681,None,1742.017901541681,None,1742.017901541681,None,1742.017901541681,None,1743.0176474871537,None,1743.0176474871537,None,11.992200654318822,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.0837889153318,None,1744.0837889153318,None,1744.5172559801454,None,1744.5172559801454,None,v,1744.5172559801454,None,t,10.680244148967176,1744.5172559801454,None,12.528675923618266,10.680244148967176,10,False,False,False,1757.0974456292838,None,1757.0974456292838,None,1757.0974456292838,None,1757.0974456292838,None,1757.0974456292838,None,1757.0974456292838,None,1758.0971694412178,None,1758.0971694412178,None,12.528675923618266,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1759.1466378994824,None,1759.1466378994824,None,1759.5968613359482,None,1759.5968613359482,None,v,1759.5968613359482,None,t,8.39537813225661,1759.5968613359482,None,10.243987937542443,8.39537813225661,8,False,False,False,1769.894287333746,None,1769.894287333746,None,1769.894287333746,None,1769.894287333746,None,1769.894287333746,None,1769.894287333746,None,1770.910693738871,None,1770.910693738871,None,10.243987937542443,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
