Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,textLeft.started,textLeft.stopped,textRight.started,textRight.stopped,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,SychroLeftPr.started,SychroLeftPr.stopped,SychroRightPr.started,SychroRightPr.stopped,NumberLeftPr.started,NumberLeftPr.stopped,NumberRightPr.started,NumberRightPr.stopped,CrossLeftPr.started,CrossLeftPr.stopped,CrossRightPr.started,CrossRightPr.stopped,key_respPrLeft.keys,key_respPrLeft.rt,key_respPrLeft.started,key_respPrLeft.stopped,key_respPrRight.keys,key_respPrRight.rt,key_respPrRight.started,key_respPrRight.stopped,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,FeedbackLeftLeftPr.started,FeedbackLeftLeftPr.stopped,FeedbackRightRightPr.started,FeedbackRightRightPr.stopped,LineLeftPr.started,LineLeftPr.stopped,LineRightPr.started,LineRightPr.stopped,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.rt,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,LineLeft.started,LineLeft.stopped,LineRight.started,LineRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,12.407198771034928,None,12.407198771034928,None,"['v', 'v', 'v', 'v', 't']","[484.1694169635739, 489.0490469525939, 503.8439877065057, 528.4462939076893, 536.9494765063819]",13.272621182701187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
,,,,,,,,,,,,,,,,,,,,,,,,,,550.2751402521499,None,550.2751402521499,None,601.5124068901823,None,601.5124068901823,None,601.962563285485,None,601.962563285485,None,v,6.7271523480467295,601.962563285485,None,t,7.646112924753652,601.962563285485,None,6.7271523480467295,7.646112924753652,8,False,False,False,609.6606736786589,None,609.6606736786589,None,609.6606736786589,None,609.6606736786589,None,610.6770484320205,None,610.6770484320205,None,611.6768556444567,None,"['space', 'space']","[1.1934134016546523, 2.4813292782719145]",612.6599275490862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,4,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.209298006268,None,615.209298006268,None,618.2752262206477,None,618.2752262206477,None,618.6917467996782,None,618.6917467996782,None,v,8.264689305678985,618.6917467996782,None,t,8.956004979757381,618.6917467996782,None,8.264689305678985,8.956004979757381,9,False,False,False,627.7063123652524,None,627.7063123652524,None,627.7063123652524,None,627.7063123652524,None,627.7063123652524,None,627.7063123652524,None,628.7226232837975,None,628.7226232837975,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.7722524484179,None,629.7722524484179,None,630.2223360271191,None,630.2223360271191,None,v,5.849312300135352,630.2223360271191,None,t,6.3841297020835555,630.2223360271191,None,5.849312300135352,6.3841297020835555,6,False,False,False,636.6707493148979,None,636.6707493148979,None,636.6707493148979,None,636.6707493148979,None,636.6707493148979,None,636.6707493148979,None,637.6705068067477,None,637.6705068067477,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,4,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.7367224381942,None,638.7367224381942,None,639.1868284713546,None,639.1868284713546,None,v,8.2720668783586,639.1868284713546,None,t,10.006893518712786,639.1868284713546,None,8.2720668783586,10.006893518712786,9,False,False,False,649.2510533546792,None,649.2510533546792,None,649.2510533546792,None,649.2510533546792,None,649.2510533546792,None,649.2510533546792,None,650.2507986569663,None,650.2507986569663,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,4,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.3169126017947,None,651.3169126017947,None,651.7504296019042,None,651.7504296019042,None,v,7.915424320295642,651.7504296019042,None,t,8.546974245698038,651.7504296019042,None,7.915424320295642,8.546974245698038,8,False,False,False,660.3483658447158,None,660.3483658447158,None,660.3483658447158,None,660.3483658447158,None,660.3483658447158,None,660.3483658447158,None,661.3647357864074,None,661.3647357864074,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,4,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.4310919186082,None,662.4310919186082,None,662.864390789694,None,662.864390789694,None,v,7.516675803492944,662.864390789694,None,t,6.880133289664627,662.864390789694,None,7.516675803492944,6.880133289664627,7,False,False,False,670.4458833118779,None,670.4458833118779,None,670.4458833118779,None,670.4458833118779,None,670.4458833118779,None,670.4458833118779,None,671.4456366336144,None,671.4456366336144,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,4,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.5120055969337,None,672.5120055969337,None,672.9619483541037,None,672.9619483541037,None,v,9.734176102618221,672.9619483541037,None,t,9.538012350593817,672.9619483541037,None,9.734176102618221,9.538012350593817,10,True,False,False,682.7595499613299,None,682.7595499613299,None,682.7595499613299,None,682.7595499613299,None,682.7595499613299,None,682.7595499613299,None,683.759288206501,None,683.759288206501,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,4,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.825486515937,None,684.825486515937,None,685.2590153848323,None,685.2590153848323,None,v,7.820338670971978,685.2590153848323,None,t,8.128046548733437,685.2590153848323,None,7.820338670971978,8.128046548733437,8,False,False,False,693.4402549415045,None,693.4402549415045,None,693.4402549415045,None,693.4402549415045,None,693.4402549415045,None,693.4402549415045,None,694.4566614518853,None,694.4566614518853,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,4,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.5061760987683,None,695.5061760987683,None,695.9563591186425,None,695.9563591186425,None,v,6.718275459105826,695.9563591186425,None,t,5.88919013505074,695.9563591186425,None,6.718275459105826,5.88919013505074,7,False,False,False,702.7380270422245,None,702.7380270422245,None,702.7380270422245,None,702.7380270422245,None,702.7380270422245,None,702.7380270422245,None,703.7377588718364,None,703.7377588718364,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,4,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.82090805188,None,704.82090805188,None,705.2540600066523,None,705.2540600066523,None,v,8.427762563990655,705.2540600066523,None,t,10.218862963969514,705.2540600066523,None,8.427762563990655,10.218862963969514,10,False,False,False,715.5349370521335,None,715.5349370521335,None,715.5349370521335,None,715.5349370521335,None,715.5349370521335,None,715.5349370521335,None,716.5346570129595,None,716.5346570129595,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,4,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.6009207611032,None,717.6009207611032,None,718.0342257269704,None,718.0342257269704,None,v,7.610732717846076,718.0342257269704,None,t,5.666176945623192,718.0342257269704,None,7.610732717846076,5.666176945623192,6,False,False,False,725.6991327125843,None,725.6991327125843,None,725.6991327125843,None,725.6991327125843,None,725.6991327125843,None,725.6991327125843,None,726.7154821244867,None,726.7154821244867,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
Human.xlsx,h,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,727.7146471394135,None,727.7146471394135,None,a,0,5.781770893311659,727.7146471394135,None,l,0,8.025130067449936,727.7146471394135,None,c,c,735.7965924397122,None,None,None,None,None,None,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,1,1,8,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.8120375784983,None,740.8120375784983,None,743.8944585925346,None,743.8944585925346,None,744.327924909725,None,744.327924909725,None,v,7.03512454686097,744.327924909725,None,t,7.278078899192224,744.327924909725,None,7.03512454686097,7.278078899192224,8,True,False,False,751.659407247208,None,751.659407247208,None,751.659407247208,None,751.659407247208,None,751.659407247208,None,751.659407247208,None,752.6592481413318,None,752.6592481413318,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,001,2021_Apr_07_1141,ComputerHuman,2020.1.3,60.00313737277559,
