Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,key_respPrLeft.keys,key_respPrRight.keys,key_respPrRight.rt,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,key_respPrLeft.rt,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.rt,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,textLeftLeft.started,textLeftLeft.stopped,textLeftRight.started,textLeftRight.stopped,textRightLeft.started,textRightLeft.stopped,textRightRight.started,textRightRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,BlankLeft.started,BlankLeft.stopped,BlankRight.started,BlankRight.stopped,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,ScoreLeft.started,ScoreLeft.stopped,ScoreRight.started,ScoreRight.stopped,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,text_LongPause.started,text_LongPause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,QuestImageLeft.started,QuestImageLeft.stopped,QuestImageRight.started,QuestImageRight.stopped,respQuestLeft.keys,respQuestLeft.rt,respQuestLeft.started,respQuestLeft.stopped,respQuestRight.keys,respQuestRight.rt,respQuestRight.started,respQuestRight.stopped,RespInclusionLeft,RespInclusionRight,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"['v', 'v', 't']","[61.72732530519352, 68.99083289520786, 245.69163043781373]",32.68851571363848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_22Exp,001,2021_Apr_30_1513,ComputerHuman,2020.1.3,60.016075128569845,
,,,,,,,,,,,,,,,,,,,,,,v,t,8.177363172671903,4.902445619834907,8.177363172671903,9,False,False,False,340.8438291411803,None,340.8438291411803,None,4.902445619834907,341.8435545578759,None,"['space', 'space']","[8.099339813201368, 8.895195145010803]",342.8266866103113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_22Exp,001,2021_Apr_30_1513,ComputerHuman,2020.1.3,60.016075128569845,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,4,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,351.79286667216365,None,351.79286667216365,None,354.8237640302941,None,354.8237640302941,None,355.29026855594566,None,355.29026855594566,None,v,10.166368934107595,355.29026855594566,None,t,8.202816339373385,355.29026855594566,None,10.166368934107595,8.202816339373385,10.618697886467418,False,False,False,365.53803283516027,None,365.53803283516027,None,365.53803283516027,None,365.53803283516027,None,365.53803283516027,None,365.53803283516027,None,365.53803283516027,None,365.53803283516027,None,366.5403574907832,None,366.5403574907832,None,367.5364507734048,None,367.5364507734048,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_22Exp,001,2021_Apr_30_1513,ComputerHuman,2020.1.3,60.016075128569845,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,4,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.55378063680837,None,368.55378063680837,None,369.0363976851622,None,369.0363976851622,None,v,7.403625269489567,369.0363976851622,None,t,7.222353134020523,369.0363976851622,None,7.403625269489567,7.222353134020523,8.42875478857849,True,False,False,376.5016033932843,None,376.5016033932843,None,376.5016033932843,None,376.5016033932843,None,376.5016033932843,None,376.5016033932843,None,376.5016033932843,None,376.5016033932843,None,377.50343822565264,None,377.50343822565264,None,378.50040529907346,None,378.50040529907346,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_22Exp,001,2021_Apr_30_1513,ComputerHuman,2020.1.3,60.016075128569845,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,4,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.5350268536713,None,379.5350268536713,None,380.0005934335459,None,380.0005934335459,None,v,4.706545187076699,380.0005934335459,None,t,8.077286218773224,380.0005934335459,None,4.706545187076699,8.077286218773224,9.645462629182818,False,False,False,388.13219614357877,None,388.13219614357877,None,388.13219614357877,None,388.13219614357877,None,388.13219614357877,None,388.13219614357877,None,388.13219614357877,None,388.13219614357877,None,389.13298813678193,None,389.13298813678193,None,390.1309457630596,None,390.1309457630596,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_22Exp,001,2021_Apr_30_1513,ComputerHuman,2020.1.3,60.016075128569845,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,4,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.1643782051433,None,391.1643782051433,None,391.6306023735415,None,391.6306023735415,None,v,5.039490275867138,391.6306023735415,None,t,5.042617510269338,391.6306023735415,None,5.039490275867138,5.042617510269338,6.416233180540735,True,False,False,396.7299049768553,None,396.7299049768553,None,396.7299049768553,None,396.7299049768553,None,396.7299049768553,None,396.7299049768553,None,396.7299049768553,None,396.7299049768553,None,397.76404312369414,None,397.76404312369414,None,398.7618653829704,None,398.7618653829704,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_22Exp,001,2021_Apr_30_1513,ComputerHuman,2020.1.3,60.016075128569845,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,4,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.77975082848207,None,399.77975082848207,None,400.2618774120274,None,400.2618774120274,None,v,6.087839071089547,400.2618774120274,None,t,6.710430412538699,400.2618774120274,None,6.087839071089547,6.710430412538699,8.425070265082011,False,False,False,407.02708847709437,None,407.02708847709437,None,407.02708847709437,None,407.02708847709437,None,407.02708847709437,None,407.02708847709437,None,407.02708847709437,None,407.02708847709437,None,408.028457544322,None,408.028457544322,None,409.0260575065986,None,409.0260575065986,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_22Exp,001,2021_Apr_30_1513,ComputerHuman,2020.1.3,60.016075128569845,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,4,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.0601398386061,None,410.0601398386061,None,410.52618052376783,None,410.52618052376783,None,v,5.626279611129576,410.52618052376783,None,t,5.701610706950305,410.52618052376783,None,5.626279611129576,5.701610706950305,6.905400062806841,True,False,False,416.3086011616542,None,416.3086011616542,None,416.3086011616542,None,416.3086011616542,None,416.3086011616542,None,416.3086011616542,None,416.3086011616542,None,416.3086011616542,None,417.30982555940864,None,417.30982555940864,None,418.3070081935548,None,418.3070081935548,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_22Exp,001,2021_Apr_30_1513,ComputerHuman,2020.1.3,60.016075128569845,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,4,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.3243114326433,None,419.3243114326433,None,419.80671901499227,None,419.80671901499227,None,v,8.452784662855265,419.80671901499227,None,t,8.192371908975474,419.80671901499227,None,8.452784662855265,8.192371908975474,10.050473550900906,True,False,False,428.3218959977239,None,428.3218959977239,None,428.3218959977239,None,428.3218959977239,None,428.3218959977239,None,428.3218959977239,None,428.3218959977239,None,428.3218959977239,None,429.3226873493768,None,429.3226873493768,None,430.32063374853533,None,430.32063374853533,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_22Exp,001,2021_Apr_30_1513,ComputerHuman,2020.1.3,60.016075128569845,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,4,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.35526781335284,None,431.35526781335284,None,431.8372346510005,None,431.8372346510005,None,v,4.949418290776521,431.8372346510005,None,t,6.012488087220845,431.8372346510005,None,4.949418290776521,6.012488087220845,7.0333334988384095,False,False,False,437.9026092150307,None,437.9026092150307,None,437.9026092150307,None,437.9026092150307,None,437.9026092150307,None,437.9026092150307,None,437.9026092150307,None,437.9026092150307,None,438.9037749109775,None,438.9037749109775,None,439.9015182596304,None,439.9015182596304,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_22Exp,001,2021_Apr_30_1513,ComputerHuman,2020.1.3,60.016075128569845,
