Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,key_respPrLeft.keys,key_respPrRight.keys,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,key_respPrLeft.rt,key_respPrRight.rt,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.rt,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,textLeftLeft.started,textLeftLeft.stopped,textLeftRight.started,textLeftRight.stopped,textRightLeft.started,textRightLeft.stopped,textRightRight.started,textRightRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,BlankLeft.started,BlankLeft.stopped,BlankRight.started,BlankRight.stopped,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,ScoreLeft.started,ScoreLeft.stopped,ScoreRight.started,ScoreRight.stopped,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,text_LongPause.started,text_LongPause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,QuestImageLeft.started,QuestImageLeft.stopped,QuestImageRight.started,QuestImageRight.stopped,respQuestLeft.keys,respQuestLeft.rt,respQuestLeft.started,respQuestLeft.stopped,respQuestRight.keys,respQuestRight.rt,respQuestRight.started,respQuestRight.stopped,RespInclusionLeft,RespInclusionRight,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"['v', 't']","[273.16615153946327, 276.3940763205194]",19.168672909356133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
,,,,,,,,,,,,,,,,,,,,,,v,t,7.049019151825405,5.696247425299589,6,False,False,False,370.72401649732967,None,370.72401649732967,None,7.049019151825405,5.696247425299589,371.7404002690745,None,"['space', 'space']","[1.4829456272677817, 1.84689446463085]",372.72354237713864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,374.6589141492799,None,374.6589141492799,None,377.7057657570382,None,377.7057657570382,None,378.13934161450436,None,378.13934161450436,None,v,9.558425369215456,378.13934161450436,None,t,8.27408605955111,378.13934161450436,None,9.558425369215456,8.27408605955111,8.230789206239729,False,False,False,387.78681881711816,None,387.78681881711816,None,387.78681881711816,None,387.78681881711816,None,387.78681881711816,None,387.78681881711816,None,387.78681881711816,None,387.78681881711816,None,388.7900273084248,None,388.7900273084248,None,389.78639858880285,None,389.78639858880285,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,2,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.8361346950443,None,390.8361346950443,None,391.28665056539955,None,391.28665056539955,None,v,12.294254452415089,391.28665056539955,None,t,12.097884326863095,391.28665056539955,None,12.294254452415089,12.097884326863095,10.391027777825121,True,False,False,403.66668933547146,None,403.66668933547146,None,403.66668933547146,None,403.66668933547146,None,403.66668933547146,None,403.66668933547146,None,403.66668933547146,None,403.66668933547146,None,404.6355561914228,None,404.6355561914228,None,405.6496636729943,None,405.6496636729943,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,2,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.6998078177222,None,406.6998078177222,None,407.1493966195038,None,407.1493966195038,None,v,7.07094608791499,407.1493966195038,None,t,6.534203537424219,407.1493966195038,None,7.07094608791499,6.534203537424219,5.805354237926758,False,False,False,414.31425507473807,None,414.31425507473807,None,414.31425507473807,None,414.31425507473807,None,414.31425507473807,None,414.31425507473807,None,414.31425507473807,None,414.31425507473807,None,415.28304013052104,None,415.28304013052104,None,416.280568161514,None,416.280568161514,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,2,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.3475259298515,None,417.3475259298515,None,417.78072229869383,None,417.78072229869383,None,v,8.595007366827076,417.78072229869383,None,t,7.674077013414944,417.78072229869383,None,8.595007366827076,7.674077013414944,7.2220492538580165,False,False,False,426.4616634689752,None,426.4616634689752,None,426.4616634689752,None,426.4616634689752,None,426.4616634689752,None,426.4616634689752,None,426.4616634689752,None,426.4616634689752,None,427.44664912828296,None,427.44664912828296,None,428.44451270035836,None,428.44451270035836,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,2,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.4780844517769,None,429.4780844517769,None,429.9446225692117,None,429.9446225692117,None,v,7.306532176497285,429.9446225692117,None,t,8.370141591279435,429.9446225692117,None,7.306532176497285,8.370141591279435,7.195357190156768,False,False,False,438.40900148298886,None,438.40900148298886,None,438.40900148298886,None,438.40900148298886,None,438.40900148298886,None,438.40900148298886,None,438.40900148298886,None,438.40900148298886,None,439.3947903878708,None,439.3947903878708,None,440.3918224852945,None,440.3918224852945,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,2,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.44143573089093,None,441.44143573089093,None,441.8920000397774,None,441.8920000397774,None,v,8.962390848902942,441.8920000397774,None,t,10.67394709550058,441.8920000397774,None,8.962390848902942,10.67394709550058,7.499064439138276,False,False,False,452.6557727020328,None,452.6557727020328,None,452.6557727020328,None,452.6557727020328,None,452.6557727020328,None,452.6557727020328,None,452.6557727020328,None,452.6557727020328,None,453.6239280569124,None,453.6239280569124,None,454.62200046000555,None,454.62200046000555,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,2,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.68982210227716,None,455.68982210227716,None,456.1386814390286,None,456.1386814390286,None,v,7.859011475440866,456.1386814390286,None,t,7.574179760842071,456.1386814390286,None,7.859011475440866,7.574179760842071,5.81746737505565,True,False,False,464.08660424404945,None,464.08660424404945,None,464.08660424404945,None,464.08660424404945,None,464.08660424404945,None,464.08660424404945,None,464.08660424404945,None,464.08660424404945,None,465.0724454368818,None,465.0724454368818,None,466.0528698546492,None,466.0528698546492,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,2,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.1199479173516,None,467.1199479173516,None,467.5529784403626,None,467.5529784403626,None,v,10.535989988942674,467.5529784403626,None,t,8.39913060856452,467.5529784403626,None,10.535989988942674,8.39913060856452,9.100299978759884,False,False,False,478.18339501493745,None,478.18339501493745,None,478.18339501493745,None,478.18339501493745,None,478.18339501493745,None,478.18339501493745,None,478.18339501493745,None,478.18339501493745,None,479.16899465668473,None,479.16899465668473,None,480.1662910809267,None,480.1662910809267,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,2,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.1999407830939,None,481.1999407830939,None,481.64977691009005,None,481.64977691009005,None,v,9.97044864665645,481.64977691009005,None,t,10.217987183357081,481.64977691009005,None,9.97044864665645,10.217987183357081,8.720719863728851,True,False,False,491.9484844995096,None,491.9484844995096,None,491.9484844995096,None,491.9484844995096,None,491.9484844995096,None,491.9484844995096,None,491.9484844995096,None,491.9484844995096,None,492.94919535901124,None,492.94919535901124,None,493.9465787159812,None,493.9465787159812,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,2,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.99651114262645,None,494.99651114262645,None,495.44662442784,None,495.44662442784,None,v,10.04086383543995,495.44662442784,None,t,9.456080206508432,495.44662442784,None,10.04086383543995,9.456080206508432,10.603927912627622,False,False,False,505.577455616993,None,505.577455616993,None,505.577455616993,None,505.577455616993,None,505.577455616993,None,505.577455616993,None,505.577455616993,None,505.577455616993,None,506.5618478240996,None,506.5618478240996,None,507.56030067817153,None,507.56030067817153,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,508.5609332661396,None,508.5609332661396,None,a,0,9.533925737637219,508.5609332661396,None,o,1,12.321152593241777,508.5609332661396,None,c,h,520.9911662233952,None,520.9911662233952,None,522.9735900939035,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,1,1,4,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,527.9759773756774,None,527.9759773756774,None,531.038670628575,None,531.038670628575,None,531.4885542317473,None,531.4885542317473,None,v,10.26103107347808,531.4885542317473,None,t,9.831994323389154,531.4885542317473,None,10.26103107347808,9.831994323389154,10.038586236546475,False,False,False,541.8359961159355,None,541.8359961159355,None,541.8359961159355,None,541.8359961159355,None,541.8359961159355,None,541.8359961159355,None,541.8359961159355,None,541.8359961159355,None,542.8385287133027,None,542.8385287133027,None,543.8356102116123,None,543.8356102116123,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,1,1,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.8857030307444,None,544.8857030307444,None,545.3358371669812,None,545.3358371669812,None,v,5.437224144971651,545.3358371669812,None,t,7.180244906496,545.3358371669812,None,5.437224144971651,7.180244906496,6.257900256685697,False,False,False,552.5851900634931,None,552.5851900634931,None,552.5851900634931,None,552.5851900634931,None,552.5851900634931,None,552.5851900634931,None,552.5851900634931,None,552.5851900634931,None,553.5686651463596,None,553.5686651463596,None,554.566493752873,None,554.566493752873,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,1,1,4,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.6333007522729,None,555.6333007522729,None,556.0834015268723,None,556.0834015268723,None,v,9.148893307879916,556.0834015268723,None,t,8.484076394299791,556.0834015268723,None,9.148893307879916,8.484076394299791,8.746712091232343,False,False,False,565.3308040507444,None,565.3308040507444,None,565.3308040507444,None,565.3308040507444,None,565.3308040507444,None,565.3308040507444,None,565.3308040507444,None,565.3308040507444,None,566.2994466779988,None,566.2994466779988,None,567.2970273177276,None,567.2970273177276,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,1,1,4,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.3470126738936,None,568.3470126738936,None,568.7971452062053,None,568.7971452062053,None,v,5.518700320432117,568.7971452062053,None,t,6.262146122046488,568.7971452062053,None,5.518700320432117,6.262146122046488,5.5693013244808265,False,False,False,575.1452982706802,None,575.1452982706802,None,575.1452982706802,None,575.1452982706802,None,575.1452982706802,None,575.1452982706802,None,575.1452982706802,None,575.1452982706802,None,576.1301466340193,None,576.1301466340193,None,577.1281417279339,None,577.1281417279339,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,1,1,4,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.1780866651933,None,578.1780866651933,None,578.6282705231009,None,578.6282705231009,None,v,6.6151632490771135,578.6282705231009,None,t,5.926244477285536,578.6282705231009,None,6.6151632490771135,5.926244477285536,6.610902910081419,False,False,False,585.3264115420999,None,585.3264115420999,None,585.3264115420999,None,585.3264115420999,None,585.3264115420999,None,585.3264115420999,None,585.3264115420999,None,585.3264115420999,None,586.2949829550904,None,586.2949829550904,None,587.2926049760807,None,587.2926049760807,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,1,1,4,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.3595293827808,None,588.3595293827808,None,588.8096077024321,None,588.8096077024321,None,v,6.237133234510111,588.8096077024321,None,t,4.912278141102433,588.8096077024321,None,6.237133234510111,4.912278141102433,7.508800066053821,False,False,False,595.1259472379292,None,595.1259472379292,None,595.1259472379292,None,595.1259472379292,None,595.1259472379292,None,595.1259472379292,None,595.1259472379292,None,595.1259472379292,None,596.1263796560737,None,596.1263796560737,None,597.123804394305,None,597.123804394305,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,1,1,4,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.1738853443932,None,598.1738853443932,None,598.6072036115255,None,598.6072036115255,None,v,9.202820469802418,598.6072036115255,None,t,8.55429237561475,598.6072036115255,None,9.202820469802418,8.55429237561475,10.34523075560918,False,False,False,607.9047015208095,None,607.9047015208095,None,607.9047015208095,None,607.9047015208095,None,607.9047015208095,None,607.9047015208095,None,607.9047015208095,None,607.9047015208095,None,608.8900323447489,None,608.8900323447489,None,609.8875722447859,None,609.8875722447859,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_30Exp,001,2021_May_06_1245,ComputerHuman,2020.1.3,59.97850869177095,
