Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,key_respPrLeft.keys,key_respPrLeft.rt,key_respPrRight.keys,key_respPrRight.rt,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.rt,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,textLeftLeft.started,textLeftLeft.stopped,textLeftRight.started,textLeftRight.stopped,textRightLeft.started,textRightLeft.stopped,textRightRight.started,textRightRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,BlankLeft.started,BlankLeft.stopped,BlankRight.started,BlankRight.stopped,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,ScoreLeft.started,ScoreLeft.stopped,ScoreRight.started,ScoreRight.stopped,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,text_LongPause.started,text_LongPause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,QuestImageLeft.started,QuestImageLeft.stopped,QuestImageRight.started,QuestImageRight.stopped,respQuestLeft.keys,respQuestLeft.rt,respQuestLeft.started,respQuestLeft.stopped,respQuestRight.keys,respQuestRight.rt,respQuestRight.started,respQuestRight.stopped,RespInclusionLeft,RespInclusionRight,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"['t', 'v']","[2.2276252465571815, 2.711597465990053]",22.40298566351521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33_34ExpCorr,001,2021_May_10_1210,ComputerHuman,2020.1.3,60.0363789028746,
,,,,,,,,,,,,,,,,,,,,,,v,3.9044597939773666,t,5.419288189537838,3.9044597939773666,5.419288189537838,9,False,False,False,70.54108559259203,None,70.54108559259203,None,71.54085880328967,None,"['space', 'space']","[1.0389310942246084, 1.2231561821254218]",72.52390125074089,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33_34ExpCorr,001,2021_May_10_1210,ComputerHuman,2020.1.3,60.0363789028746,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,73.82603624587045,None,73.82603624587045,None,76.88978104086345,None,76.88978104086345,None,77.32351028779794,None,77.32351028779794,None,v,2.8467125655706695,77.32351028779794,None,t,3.221471782374465,77.32351028779794,None,2.8467125655706695,3.221471782374465,5.6386586673285555,False,False,False,80.62256582423106,None,80.62256582423106,None,80.62256582423106,None,80.62256582423106,None,80.62256582423106,None,80.62256582423106,None,80.62256582423106,None,80.62256582423106,None,81.62492545945679,None,81.62492545945679,None,82.63810073101831,None,82.63810073101831,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33_34ExpCorr,001,2021_May_10_1210,ComputerHuman,2020.1.3,60.0363789028746,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,6,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.68831900369241,None,83.68831900369241,None,84.12112697923385,None,84.12112697923385,None,v,3.2925476137243095,84.12112697923385,None,t,4.151343846904638,84.12112697923385,None,3.2925476137243095,4.151343846904638,7.452780453576115,False,False,False,88.3703684219472,None,88.3703684219472,None,88.3703684219472,None,88.3703684219472,None,88.3703684219472,None,88.3703684219472,None,88.3703684219472,None,88.3703684219472,None,89.35549848577193,None,89.35549848577193,None,90.35281005417528,None,90.35281005417528,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33_34ExpCorr,001,2021_May_10_1210,ComputerHuman,2020.1.3,60.0363789028746,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,6,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.40243745571206,None,91.40243745571206,None,91.8527649850148,None,91.8527649850148,None,v,3.368260596625987,91.8527649850148,None,t,3.199472257765592,91.8527649850148,None,3.368260596625987,3.199472257765592,8.16855329920833,True,False,False,95.30306268206095,None,95.30306268206095,None,95.30306268206095,None,95.30306268206095,None,95.30306268206095,None,95.30306268206095,None,95.30306268206095,None,95.30306268206095,None,96.30387553084529,None,96.30387553084529,None,97.28445761911007,None,97.28445761911007,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33_34ExpCorr,001,2021_May_10_1210,ComputerHuman,2020.1.3,60.0363789028746,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,6,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.35115356201914,None,98.35115356201914,None,98.78441928626489,None,98.78441928626489,None,v,4.464039139919805,98.78441928626489,None,t,5.151313693871998,98.78441928626489,None,4.464039139919805,5.151313693871998,10.342545775462304,False,False,False,104.03277698848797,None,104.03277698848797,None,104.03277698848797,None,104.03277698848797,None,104.03277698848797,None,104.03277698848797,None,104.03277698848797,None,104.03277698848797,None,105.01825477452348,None,105.01825477452348,None,106.01561253480759,None,106.01561253480759,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33_34ExpCorr,001,2021_May_10_1210,ComputerHuman,2020.1.3,60.0363789028746,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,6,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.06540289103395,None,107.06540289103395,None,107.51559152391746,None,107.51559152391746,None,v,2.3564848748856093,107.51559152391746,None,t,2.491486098650057,107.51559152391746,None,2.3564848748856093,2.491486098650057,6.272026892541555,True,False,False,110.08285379852805,None,110.08285379852805,None,110.08285379852805,None,110.08285379852805,None,110.08285379852805,None,110.08285379852805,None,110.08285379852805,None,110.08285379852805,None,111.0837972035306,None,111.0837972035306,None,112.06415955958528,None,112.06415955958528,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33_34ExpCorr,001,2021_May_10_1210,ComputerHuman,2020.1.3,60.0363789028746,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,6,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.13165167087845,None,113.13165167087845,None,113.56415971997376,None,113.56415971997376,None,v,3.2152881651591088,113.56415971997376,None,t,3.242462784261079,113.56415971997376,None,3.2152881651591088,3.242462784261079,7.234363225976362,True,False,False,116.89659370167283,None,116.89659370167283,None,116.89659370167283,None,116.89659370167283,None,116.89659370167283,None,116.89659370167283,None,116.89659370167283,None,116.89659370167283,None,117.8651713542331,None,117.8651713542331,None,118.86250826401556,None,118.86250826401556,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33_34ExpCorr,001,2021_May_10_1210,ComputerHuman,2020.1.3,60.0363789028746,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,6,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.929227302865,None,119.929227302865,None,120.3792930781783,None,120.3792930781783,None,v,4.031559639972329,120.3792930781783,None,t,4.566349664194604,120.3792930781783,None,4.031559639972329,4.566349664194604,9.18445266530098,False,False,False,125.02783606116645,None,125.02783606116645,None,125.02783606116645,None,125.02783606116645,None,125.02783606116645,None,125.02783606116645,None,125.02783606116645,None,125.02783606116645,None,126.02926127314367,None,126.02926127314367,None,127.02718263852512,None,127.02718263852512,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33_34ExpCorr,001,2021_May_10_1210,ComputerHuman,2020.1.3,60.0363789028746,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,6,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.07713883643282,None,128.07713883643282,None,128.51076415163607,None,128.51076415163607,None,v,3.6554682365067492,128.51076415163607,None,t,4.002375674072937,128.51076415163607,None,3.6554682365067492,4.002375674072937,8.165170384422742,False,False,False,132.5931441626126,None,132.5931441626126,None,132.5931441626126,None,132.5931441626126,None,132.5931441626126,None,132.5931441626126,None,132.5931441626126,None,132.5931441626126,None,133.57784727232138,None,133.57784727232138,None,134.57529613325823,None,134.57529613325823,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33_34ExpCorr,001,2021_May_10_1210,ComputerHuman,2020.1.3,60.0363789028746,
